"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Jordan Beyer","Burnley","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p241231.png",1,2,4,2,1.4,30,1234,0,1,2,23,0,0,0,6,0,0,4,330.8,46.1,35,41.3,0.04,0,0.01,0.05,1.52,1.68,1.09,0.15,8,"Not recommended"
"Hjalmar Ekdal","Burnley","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p478969.png",0,0,3.9,1,0.1,3,105,0,0,0,1,0,0,0,1,0,0,0,14.6,12,2,2.8,0,0,0.01,0.01,1.69,0.86,0.86,0,4,"Not recommended"
"Dara O'Shea","Burnley","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p216616.png",4,2.8,4.4,1.9,0.3,31,1387,0,3,2,35,1,0,0,3,0,0,1,355,97.3,104,55.9,0.02,0,0.03,0.05,1.84,2.27,0.97,0.13,1,"Not recommended"
"Connor Roberts","Burnley","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p192290.png",1,0.5,4.3,0.9,0.2,11,770,0,1,0,22,0,0,0,2,1,0,0,138.2,93.1,8,23.8,0,0,0.04,0.04,2.26,2.57,0.94,0,4,"Not recommended"
"Charlie Taylor","Burnley","Defender","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p103914.png",0,1.8,4,2.1,5.1,34,1440,1,1,2,28,0,0,0,6,0,0,1,274.8,126.9,30,43.4,0.01,0,0.03,0.04,1.66,1.75,1,0.12,8,"Not recommended"
"Victor da Silva","Burnley","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p441455.png",1,2.2,4.4,1.9,0.2,26,1135,0,0,2,23,0,0,0,0,0,0,0,110.2,80,41,23.1,0.02,0,0.04,0.06,1.6,1.82,1.03,0.16,8,"Not recommended"
"Hannes Delcroix","Burnley","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p247245.png",1,0.8,4,0.7,0,6,382,0,0,0,16,0,0,0,1,0,0,0,63.2,37.8,42,14.3,0.08,0,0.01,0.09,2.29,3.77,0.71,0,4,"Not recommended"
"Benoît Badiashile","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p242880.png",0,2.8,4.4,2.8,0.1,17,460,0,1,1,10,0,0,0,1,0,0,4,123.8,36.5,25,18.5,0.02,0,0.12,0.14,1.19,1.96,0.98,0.2,6,"Not recommended"
"Ben Chilwell","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p172850.png",0,0,5.4,2.5,4.8,15,334,0,1,1,5,0,0,0,3,0,0,2,57,136.4,88,28.1,0.23,0,0.34,0.57,1.1,1.35,1.08,0.27,2,"Not recommended"
"Levi Colwill","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p460028.png",1,2.5,4.7,2.8,7,54,1507,1,1,4,23,0,0,0,2,0,0,3,304.6,97.4,153,55.6,0.07,0,0.02,0.09,1.35,1.37,1.02,0.24,5,"Can be alternative"
"Marc Cucurella Saseta","Chelsea","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p179268.png",0,0,4.8,1.1,0.4,10,703,0,0,1,14,0,0,0,5,0,0,0,148.4,92.3,58,29.9,0.11,0,0.03,0.14,1.69,1.79,1.02,0.13,8,"Not recommended"
"Malo Gusto","Chelsea","Defender","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p482609.png",0,2.5,4.2,2.6,7.4,34,798,0,3,2,11,0,0,0,3,1,0,5,165,137.8,42,34.5,0.05,0,0.12,0.17,1.31,1.24,1.02,0.23,8,"Not recommended"
"Reece James","Chelsea","Defender","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p225796.png",0,0,5.3,1.1,3,9,386,0,1,0,12,0,0,0,0,1,0,0,115.2,156.9,59,33.2,0.07,0,0.24,0.31,2.38,2.8,1.17,0,4,"Not recommended"
